SCORCH,ID
0.00011,CHEMBL154822_smina_6
0.00043,CHEMBL154822_smina_7
0.00023,CHEMBL154822_smina_8
0.00077,CHEMBL154822_smina_9
0.0029,CHEMBL154822_smina_10
0.01349,CHEMBL154911_smina_1
0.00882,CHEMBL154911_smina_2
0.00914,CHEMBL154911_smina_3
0.02115,CHEMBL154911_smina_4
0.02187,CHEMBL154911_smina_5
0.01925,CHEMBL154911_smina_6
0.0063,CHEMBL154911_smina_7
0.01142,CHEMBL154911_smina_8
0.01165,CHEMBL154911_smina_9
0.01445,CHEMBL154911_smina_10
0.01762,CHEMBL1630114_smina_1
0.00626,CHEMBL1630114_smina_2
0.01676,CHEMBL1630114_smina_3
0.00697,CHEMBL1630114_smina_4
0.01279,CHEMBL1630114_smina_5
0.00843,CHEMBL1630114_smina_6
0.00777,CHEMBL1630114_smina_7
0.00334,CHEMBL1630114_smina_8
0.00679,CHEMBL1630114_smina_9
0.00201,CHEMBL1630114_smina_10
0.02131,CHEMBL1645466_smina_1
0.01197,CHEMBL1645466_smina_2
0.00758,CHEMBL1645466_smina_3
0.02279,CHEMBL1645466_smina_4
0.01115,CHEMBL1645466_smina_5
0.01443,CHEMBL1645466_smina_6
0.00318,CHEMBL1645466_smina_7
0.00785,CHEMBL1645466_smina_8
0.00297,CHEMBL1645466_smina_9
0.02554,CHEMBL1645466_smina_10
0.0392,CHEMBL166093_smina_1
0.01564,CHEMBL166093_smina_2
0.01941,CHEMBL166093_smina_3
0.04285,CHEMBL166093_smina_4
0.05166,CHEMBL166093_smina_5
0.0529,CHEMBL166093_smina_6
0.02598,CHEMBL166093_smina_7
0.01617,CHEMBL166093_smina_8
0.00962,CHEMBL166093_smina_9
0.01002,CHEMBL166093_smina_10
0.03252,CHEMBL1683968_smina_1
0.02021,CHEMBL1683968_smina_2
0.03202,CHEMBL1683968_smina_3
0.06261,CHEMBL1683968_smina_4
0.04696,CHEMBL1683968_smina_5
0.01143,CHEMBL1683968_smina_6
0.02861,CHEMBL1683968_smina_7
0.0115,CHEMBL1683968_smina_8
0.02307,CHEMBL1683968_smina_9
0.00597,CHEMBL1683968_smina_10
0.04984,CHEMBL176470_smina_1
0.06079,CHEMBL176470_smina_2
0.03629,CHEMBL176470_smina_3
0.03195,CHEMBL176470_smina_4
0.0445,CHEMBL176470_smina_5
0.06334,CHEMBL176470_smina_6
0.02668,CHEMBL176470_smina_7
0.04751,CHEMBL176470_smina_8
0.03212,CHEMBL176470_smina_9
0.02425,CHEMBL176470_smina_10
0.02838,CHEMBL1821886_smina_1
0.02181,CHEMBL1821886_smina_2
0.02307,CHEMBL1821886_smina_3
0.01587,CHEMBL1821886_smina_4
0.00275,CHEMBL1821886_smina_5
0.00339,CHEMBL1821886_smina_6
0.07767,CHEMBL1821886_smina_7
0.0169,CHEMBL1821886_smina_8
0.01175,CHEMBL1821886_smina_9
0.01237,CHEMBL1821886_smina_10
0.02096,CHEMBL1830130_smina_1
0.01369,CHEMBL1830130_smina_2
0.015,CHEMBL1830130_smina_3
0.01821,CHEMBL1830130_smina_4
0.01421,CHEMBL1830130_smina_5
