ID,Vinardo
CHEMBL7866_gnina_1,-7.77873
CHEMBL7866_gnina_2,-8.18062
CHEMBL7866_gnina_3,-7.51910
CHEMBL7866_gnina_4,-7.21361
CHEMBL7866_gnina_5,-7.35968
CHEMBL7866_gnina_6,-7.13115
CHEMBL7866_gnina_7,-6.50629
CHEMBL7866_gnina_8,-6.65122
CHEMBL7866_gnina_9,-6.98372
CHEMBL7866_gnina_10,-6.95221
CHEMBL80540_gnina_1,-8.62914
CHEMBL80540_gnina_2,-8.93458
CHEMBL80540_gnina_3,-8.24889
CHEMBL80540_gnina_4,-7.80096
CHEMBL80540_gnina_5,-7.57045
CHEMBL80540_gnina_6,-9.72541
CHEMBL80540_gnina_7,-7.77167
CHEMBL80540_gnina_8,-8.17746
CHEMBL80540_gnina_9,-9.62421
CHEMBL80540_gnina_10,-9.99184
CHEMBL92174_gnina_1,-5.46191
CHEMBL92174_gnina_2,-6.70705
CHEMBL92174_gnina_3,-5.65931
CHEMBL92174_gnina_4,-5.49175
CHEMBL92174_gnina_5,-6.29205
CHEMBL92174_gnina_6,-5.82788
CHEMBL92174_gnina_7,-6.33943
CHEMBL92174_gnina_8,-5.34176
CHEMBL92174_gnina_9,-7.22777
CHEMBL92174_gnina_10,-5.64130
CHEMBL94066_gnina_1,-7.91667
CHEMBL94066_gnina_2,-8.50248
CHEMBL94066_gnina_3,-7.96795
CHEMBL94066_gnina_4,-6.29937
CHEMBL94066_gnina_5,-7.18257
CHEMBL94066_gnina_6,-8.32894
CHEMBL94066_gnina_7,-8.80044
CHEMBL94066_gnina_8,-8.94949
CHEMBL94066_gnina_9,-8.65393
CHEMBL94066_gnina_10,-8.02791
CHEMBL107472_smina_1,-4.57042
CHEMBL107472_smina_2,-4.15174
CHEMBL107472_smina_3,-3.49024
CHEMBL107472_smina_4,-5.74379
CHEMBL107472_smina_5,-5.58861
CHEMBL107472_smina_6,-6.47085
CHEMBL107472_smina_7,-6.44551
CHEMBL107472_smina_8,-4.48549
CHEMBL107472_smina_9,-5.05516
CHEMBL107472_smina_10,-3.06870
CHEMBL1090364_smina_1,-10.66379
CHEMBL1090364_smina_2,-9.96574
CHEMBL1090364_smina_3,-9.63449
CHEMBL1090364_smina_4,-9.55859
CHEMBL1090364_smina_5,-9.52183
CHEMBL1090364_smina_6,-8.87038
CHEMBL1090364_smina_7,-9.08674
CHEMBL1090364_smina_8,-8.74002
CHEMBL1090364_smina_9,-9.43187
CHEMBL1090364_smina_10,-8.94205
CHEMBL1095464_smina_1,-9.15530
CHEMBL1095464_smina_2,-8.31163
CHEMBL1095464_smina_3,-8.18580
CHEMBL1095464_smina_4,-8.02911
CHEMBL1095464_smina_5,-8.71063
CHEMBL1095464_smina_6,-7.15675
CHEMBL1095464_smina_7,-8.09904
CHEMBL1095464_smina_8,-8.48508
CHEMBL1095464_smina_9,-8.16987
CHEMBL1095464_smina_10,-8.06003
CHEMBL1097189_smina_1,-7.70312
CHEMBL1097189_smina_2,-7.76418
CHEMBL1097189_smina_3,-10.09676
CHEMBL1097189_smina_4,-9.88234
CHEMBL1097189_smina_5,-8.91708
CHEMBL1097189_smina_6,-9.65332
CHEMBL1097189_smina_7,-8.59520
CHEMBL1097189_smina_8,-8.49409
CHEMBL1097189_smina_9,-7.69890
CHEMBL1097189_smina_10,-10.06734
CHEMBL1172773_smina_1,-9.90387
CHEMBL1172773_smina_2,-9.32732
CHEMBL1172773_smina_3,-9.93340
CHEMBL1172773_smina_4,-8.51188
CHEMBL1172773_smina_5,-7.10605
CHEMBL1172773_smina_6,-8.27223
CHEMBL1172773_smina_7,-7.07917
CHEMBL1172773_smina_8,-9.38061
CHEMBL1172773_smina_9,-7.46021
CHEMBL1172773_smina_10,-7.59323
CHEMBL1173794_smina_1,-6.53117
CHEMBL1173794_smina_2,-5.40857
CHEMBL1173794_smina_3,-5.80817
CHEMBL1173794_smina_4,-7.22810
CHEMBL1173794_smina_5,-4.48635
CHEMBL1173794_smina_6,-5.35612
CHEMBL1173794_smina_7,-7.22623
CHEMBL1173794_smina_8,-6.20487
CHEMBL1173794_smina_9,-6.01945
CHEMBL1173794_smina_10,-6.90746
CHEMBL1204261_smina_1,-6.86982
CHEMBL1204261_smina_2,-5.42309
CHEMBL1204261_smina_3,-7.11361
CHEMBL1204261_smina_4,-7.94140
CHEMBL1204261_smina_5,-7.43851
CHEMBL1204261_smina_6,-6.42091
CHEMBL1204261_smina_7,-6.52810
CHEMBL1204261_smina_8,-6.72539
CHEMBL1204261_smina_9,-6.76989
CHEMBL1204261_smina_10,-6.51991
CHEMBL1240553_smina_1,-6.91972
CHEMBL1240553_smina_2,-7.00298
CHEMBL1240553_smina_3,-6.29818
CHEMBL1240553_smina_4,-6.02272
CHEMBL1240553_smina_5,-7.13615
CHEMBL1240553_smina_6,-6.25489
CHEMBL1240553_smina_7,-6.44309
CHEMBL1240553_smina_8,-6.58946
CHEMBL1240553_smina_9,-6.98220
CHEMBL1240553_smina_10,-6.00107
CHEMBL1241860_smina_1,-7.58620
CHEMBL1241860_smina_2,-7.16193
CHEMBL1241860_smina_3,-7.00507
CHEMBL1241860_smina_4,-6.70098
CHEMBL1241860_smina_5,-6.89916
CHEMBL1241860_smina_6,-5.92462
CHEMBL1241860_smina_7,-6.81102
CHEMBL1241860_smina_8,-6.28054
CHEMBL1241860_smina_9,-6.76971
CHEMBL1241860_smina_10,-6.45442
CHEMBL1241948_smina_1,-7.09371
CHEMBL1241948_smina_2,-6.83488
CHEMBL1241948_smina_3,-6.79951
CHEMBL1241948_smina_4,-7.31993
CHEMBL1241948_smina_5,-6.20523
CHEMBL1241948_smina_6,-7.10634
CHEMBL1241948_smina_7,-7.45510
CHEMBL1241948_smina_8,-7.30215
CHEMBL1241948_smina_9,-6.81434
CHEMBL1241948_smina_10,-6.41307
CHEMBL1242200_smina_1,-7.42616
CHEMBL1242200_smina_2,-7.37921
CHEMBL1242200_smina_3,-6.50654
CHEMBL1242200_smina_4,-7.04152
CHEMBL1242200_smina_5,-5.76203
CHEMBL1242200_smina_6,-6.20065
CHEMBL1242200_smina_7,-6.27413
CHEMBL1242200_smina_8,-5.98850
CHEMBL1242200_smina_9,-5.24007
CHEMBL1242200_smina_10,-6.33381
CHEMBL1242208_smina_1,-6.99273
CHEMBL1242208_smina_2,-7.51425
CHEMBL1242208_smina_3,-8.06294
CHEMBL1242208_smina_4,-6.13392
CHEMBL1242208_smina_5,-5.82700
CHEMBL1242208_smina_6,-7.46770
CHEMBL1242208_smina_7,-5.55154
CHEMBL1242208_smina_8,-7.10600
