ID,ad4
CHEMBL293482_gnina_10,-18.02311
CHEMBL307599_gnina_1,-32.60998
CHEMBL307599_gnina_2,-32.08622
CHEMBL307599_gnina_3,-26.28810
CHEMBL307599_gnina_4,-27.89990
CHEMBL307599_gnina_5,-29.98318
CHEMBL307599_gnina_6,-29.54463
CHEMBL307599_gnina_7,-30.53964
CHEMBL307599_gnina_8,-31.58231
CHEMBL307599_gnina_9,-29.19192
CHEMBL307599_gnina_10,-28.21351
CHEMBL308672_gnina_1,-42.67555
CHEMBL308672_gnina_2,-39.84607
CHEMBL308672_gnina_3,-42.23383
CHEMBL308672_gnina_4,-37.85456
CHEMBL308672_gnina_5,-42.86686
CHEMBL308672_gnina_6,-41.26855
CHEMBL308672_gnina_7,-39.31776
CHEMBL308672_gnina_8,-38.25275
CHEMBL308672_gnina_9,-42.15577
CHEMBL308672_gnina_10,-40.61702
CHEMBL3087206_gnina_1,-48.19879
CHEMBL3087206_gnina_2,-47.94255
CHEMBL3087206_gnina_3,-53.13401
CHEMBL3087206_gnina_4,-52.61279
CHEMBL3087206_gnina_5,-48.11304
CHEMBL3087206_gnina_6,-50.71158
CHEMBL3087206_gnina_7,-48.52770
CHEMBL3087206_gnina_8,-45.96143
CHEMBL3087206_gnina_9,-41.39575
CHEMBL3087206_gnina_10,-51.17850
CHEMBL3132872_gnina_1,-38.72187
CHEMBL3132872_gnina_2,-38.72174
CHEMBL3132872_gnina_3,-37.87888
CHEMBL3132872_gnina_4,-33.43901
CHEMBL3132872_gnina_5,-34.85849
CHEMBL3132872_gnina_6,-38.15755
CHEMBL3132872_gnina_7,-33.61020
CHEMBL3132872_gnina_8,-31.47329
CHEMBL3132872_gnina_9,-33.96408
CHEMBL3132872_gnina_10,-37.24972
CHEMBL3133894_gnina_1,-33.74617
CHEMBL3133894_gnina_2,-33.66904
CHEMBL3133894_gnina_3,-34.14856
CHEMBL3133894_gnina_4,-31.50219
CHEMBL3133894_gnina_5,-32.21734
CHEMBL3133894_gnina_6,-28.50151
CHEMBL3133894_gnina_7,-32.11052
CHEMBL3133894_gnina_8,-30.13543
CHEMBL3133894_gnina_9,-33.69582
CHEMBL3133894_gnina_10,-32.16444
CHEMBL31815_gnina_1,-34.88088
CHEMBL31815_gnina_2,-38.22542
CHEMBL31815_gnina_3,-37.02583
CHEMBL31815_gnina_4,-33.90499
CHEMBL31815_gnina_5,-34.77504
