ID,CNNscore
CHEMBL466174_diffdock_4,0.4224694371
CHEMBL466174_diffdock_5,0.2069525421
CHEMBL466174_diffdock_6,0.2608601451
CHEMBL466174_diffdock_7,0.1942044497
CHEMBL466174_diffdock_8,0.0889206380
CHEMBL466174_diffdock_9,0.1169334054
CHEMBL466174_diffdock_10,0.1246297583
CHEMBL1945649_diffdock_1,0.0556034259
CHEMBL1945649_diffdock_2,0.1817955077
CHEMBL1945649_diffdock_3,0.2616732121
CHEMBL1945649_diffdock_4,0.2143028527
CHEMBL1945649_diffdock_5,0.1816480756
CHEMBL1945649_diffdock_6,0.1403548270
CHEMBL1945649_diffdock_7,0.0460226387
CHEMBL1945649_diffdock_8,0.0966647938
CHEMBL1945649_diffdock_9,0.1160465777
CHEMBL1945649_diffdock_10,0.1532237828
CHEMBL205149_diffdock_1,0.1610940248
CHEMBL205149_diffdock_2,0.1474391073
CHEMBL205149_diffdock_3,0.1709959060
CHEMBL205149_diffdock_4,0.1429234147
CHEMBL205149_diffdock_5,0.1212976053
CHEMBL205149_diffdock_6,0.1393534392
CHEMBL205149_diffdock_7,0.1643389314
CHEMBL205149_diffdock_8,0.0781297013
CHEMBL205149_diffdock_9,0.1372966170
CHEMBL205149_diffdock_10,0.0934555382
CHEMBL5198812_diffdock_1,0.0648270398
CHEMBL5198812_diffdock_2,0.0565061867
CHEMBL5198812_diffdock_3,0.0295048933
CHEMBL5198812_diffdock_4,0.0572162159
CHEMBL5198812_diffdock_5,0.0630052090
CHEMBL5198812_diffdock_6,0.0526282042
CHEMBL5198812_diffdock_7,0.0574847274
CHEMBL5198812_diffdock_8,0.4060864747
CHEMBL5198812_diffdock_9,0.0137088569
CHEMBL5198812_diffdock_10,0.0613901243
CHEMBL7819_diffdock_1,0.2019753903
CHEMBL7819_diffdock_2,0.2950496972
CHEMBL7819_diffdock_3,0.2030260563
CHEMBL7819_diffdock_4,0.2462489903
CHEMBL7819_diffdock_5,0.2844383717
CHEMBL7819_diffdock_6,0.2715336084
CHEMBL7819_diffdock_7,0.2163595259
CHEMBL7819_diffdock_8,0.2450408936
CHEMBL7819_diffdock_9,0.1028808430
CHEMBL7819_diffdock_10,0.3173325658
CHEMBL5173449_diffdock_1,0.0702742487
CHEMBL5173449_diffdock_2,0.3757584393
CHEMBL5173449_diffdock_3,0.1396998316
CHEMBL5173449_diffdock_4,0.0448950492
CHEMBL5173449_diffdock_5,0.1054670438
CHEMBL5173449_diffdock_6,0.1247265115
CHEMBL5173449_diffdock_7,0.2117300034
CHEMBL5173449_diffdock_8,0.0977011919
CHEMBL5173449_diffdock_9,0.0638429523
CHEMBL5173449_diffdock_10,0.0898756161
CHEMBL341522_diffdock_1,0.2336935103
CHEMBL341522_diffdock_2,0.2108318061
CHEMBL341522_diffdock_3,0.1179422885
CHEMBL341522_diffdock_4,0.0649621040
CHEMBL341522_diffdock_5,0.0406126566
CHEMBL341522_diffdock_6,0.0997136459
CHEMBL341522_diffdock_7,0.1879593730
CHEMBL341522_diffdock_8,0.1195511445
CHEMBL341522_diffdock_9,0.2016696930
CHEMBL341522_diffdock_10,0.8582282066
CHEMBL1821886_diffdock_1,0.0580615066
CHEMBL1821886_diffdock_2,0.0078658191
CHEMBL1821886_diffdock_3,0.0273805019
CHEMBL1821886_diffdock_4,0.0038903558
CHEMBL1821886_diffdock_5,0.0024866562
CHEMBL1821886_diffdock_6,0.3415049016
CHEMBL1821886_diffdock_7,0.0119132372
CHEMBL1821886_diffdock_8,0.0299660545
CHEMBL1821886_diffdock_9,0.0030100988
CHEMBL1821886_diffdock_10,0.0002299411
CHEMBL4068047_diffdock_1,0.1947346181
CHEMBL4068047_diffdock_2,0.0786799416
CHEMBL4068047_diffdock_3,0.0767695829
CHEMBL4068047_diffdock_4,0.0077141859
CHEMBL4068047_diffdock_5,0.0092528248
CHEMBL4068047_diffdock_6,0.0400267169
CHEMBL4068047_diffdock_7,0.0181773733
CHEMBL4068047_diffdock_8,0.0469469614
CHEMBL4068047_diffdock_9,0.0043822951
CHEMBL4068047_diffdock_10,0.8077960610
CHEMBL141238_diffdock_1,0.3237846494
CHEMBL141238_diffdock_2,0.2502639294
CHEMBL141238_diffdock_3,0.1575951725
CHEMBL141238_diffdock_4,0.2230426967
CHEMBL141238_diffdock_5,0.0271508861
CHEMBL141238_diffdock_6,0.0274736341
CHEMBL141238_diffdock_7,0.1470641196
CHEMBL141238_diffdock_8,0.1241190508
CHEMBL141238_diffdock_9,0.0955223069
CHEMBL141238_diffdock_10,0.9409905672
CHEMBL176470_diffdock_1,0.2372006923
CHEMBL176470_diffdock_2,0.1576995999
CHEMBL176470_diffdock_3,0.0751330554
CHEMBL176470_diffdock_4,0.0923886001
CHEMBL176470_diffdock_5,0.1231326088
CHEMBL176470_diffdock_6,0.1437984258
CHEMBL176470_diffdock_7,0.0498036109
CHEMBL176470_diffdock_8,0.0254128799
CHEMBL176470_diffdock_9,0.2351946235
CHEMBL176470_diffdock_10,0.0644841865
CHEMBL1928301_diffdock_1,0.1936048418
CHEMBL1928301_diffdock_2,0.1954055429
CHEMBL1928301_diffdock_3,0.3098851144
CHEMBL1928301_diffdock_4,0.0997059792
CHEMBL1928301_diffdock_5,0.3479576111
CHEMBL1928301_diffdock_6,0.0905879736
CHEMBL1928301_diffdock_7,0.0423885100
CHEMBL1928301_diffdock_8,0.1070317850
CHEMBL1928301_diffdock_9,0.1594068557
CHEMBL1928301_diffdock_10,0.0866059288
CHEMBL1240553_diffdock_1,0.1482761204
CHEMBL1240553_diffdock_2,0.0943487510
CHEMBL1240553_diffdock_3,0.1749329418
CHEMBL1240553_diffdock_4,0.3675115407
CHEMBL1240553_diffdock_5,0.1812795550
CHEMBL1240553_diffdock_6,0.3361152709
CHEMBL1240553_diffdock_7,0.3219403028
CHEMBL1240553_diffdock_8,0.2853975892
CHEMBL1240553_diffdock_9,0.1297489256
CHEMBL1240553_diffdock_10,0.8790152669
CHEMBL4462965_diffdock_1,0.0688243210
CHEMBL4462965_diffdock_2,0.2563070655
CHEMBL4462965_diffdock_3,0.0515265539
CHEMBL4462965_diffdock_4,0.0442107059
CHEMBL4462965_diffdock_5,0.0743111297
CHEMBL4462965_diffdock_6,0.0169036090
CHEMBL4462965_diffdock_7,0.0104023293
CHEMBL4462965_diffdock_8,0.0603351295
CHEMBL4462965_diffdock_9,0.0534336865
CHEMBL4462965_diffdock_10,0.0767343938
CHEMBL166093_diffdock_1,0.1636334062
CHEMBL166093_diffdock_2,0.1794347018
CHEMBL166093_diffdock_3,0.1355461329
CHEMBL166093_diffdock_4,0.1678857952
CHEMBL166093_diffdock_5,0.1093378291
CHEMBL166093_diffdock_6,0.1147520840
CHEMBL166093_diffdock_7,0.1325367838
CHEMBL166093_diffdock_8,0.0688924640
CHEMBL166093_diffdock_9,0.0284351762
CHEMBL166093_diffdock_10,0.8468767405
CHEMBL329183_diffdock_1,0.1388897598
CHEMBL329183_diffdock_2,0.2047389597
CHEMBL329183_diffdock_3,0.2311825901
CHEMBL329183_diffdock_4,0.1594235152
CHEMBL329183_diffdock_5,0.2061802447
CHEMBL329183_diffdock_6,0.2508507669
CHEMBL329183_diffdock_7,0.2263699621
CHEMBL329183_diffdock_8,0.3187114596
CHEMBL329183_diffdock_9,0.2499888688
CHEMBL329183_diffdock_10,0.1203414500
CHEMBL1830277_diffdock_1,0.3673897386
CHEMBL1830277_diffdock_2,0.1044634506
CHEMBL1830277_diffdock_3,0.3085148036
CHEMBL1830277_diffdock_4,0.0502158403
CHEMBL1830277_diffdock_5,0.2955787480
CHEMBL1830277_diffdock_6,0.0407640301
CHEMBL1830277_diffdock_7,0.1913221031
CHEMBL1830277_diffdock_8,0.0086044846
CHEMBL1830277_diffdock_9,0.0365193598
CHEMBL1830277_diffdock_10,0.0873006955
CHEMBL1097189_diffdock_1,0.0927896053
CHEMBL1097189_diffdock_2,0.2998407483
CHEMBL1097189_diffdock_3,0.0653307214
CHEMBL1097189_diffdock_4,0.2253954858
CHEMBL1097189_diffdock_5,0.0838424712
CHEMBL1097189_diffdock_6,0.0228051320
CHEMBL1097189_diffdock_7,0.0064099133
CHEMBL1097189_diffdock_8,0.0036071476
CHEMBL1097189_diffdock_9,0.0083808573
CHEMBL1097189_diffdock_10,0.0304320436
CHEMBL2437460_diffdock_1,0.4386490583
CHEMBL2437460_diffdock_2,0.1073103547
CHEMBL2437460_diffdock_3,0.2076957673
CHEMBL2437460_diffdock_4,0.0421274640
CHEMBL2437460_diffdock_5,0.0340362638
CHEMBL2437460_diffdock_6,0.0273590218
CHEMBL2437460_diffdock_7,0.0271202791
CHEMBL2437460_diffdock_8,0.0205948334
CHEMBL2437460_diffdock_9,0.0211915746
CHEMBL2437460_diffdock_10,0.0477387868
CHEMBL1172773_diffdock_1,0.0902497694
CHEMBL1172773_diffdock_2,0.0739029944
CHEMBL1172773_diffdock_3,0.0642746687
CHEMBL1172773_diffdock_4,0.1132170409
CHEMBL1172773_diffdock_5,0.0870969072
CHEMBL1172773_diffdock_6,0.0451658033
CHEMBL1172773_diffdock_7,0.0696683228
CHEMBL1172773_diffdock_8,0.0543272234
CHEMBL1172773_diffdock_9,0.0294896699
CHEMBL1172773_diffdock_10,0.0659757778
CHEMBL512391_diffdock_1,0.5187994838
CHEMBL512391_diffdock_2,0.6333919168
CHEMBL512391_diffdock_3,0.5453786850
CHEMBL512391_diffdock_4,0.4787306488
CHEMBL512391_diffdock_5,0.3468521833
CHEMBL512391_diffdock_6,0.4278569818
CHEMBL512391_diffdock_7,0.1783633977
CHEMBL512391_diffdock_8,0.0010224661
CHEMBL512391_diffdock_9,0.0029424096
CHEMBL512391_diffdock_10,0.8628460169
CHEMBL3671487_diffdock_1,0.1836761832
